"Variable","statistic","p","sig"
"""Diadema"" spp.",6.58536585365854,0.0103,"*"
"""Pavona"" spp.",4.36693548387097,0.0366,"*"
"""Pocillopora"" spp.",6.54545454545455,0.0105,"*"
"""Porites"" spp.",0.18181818181818,0.67,""
"CCA",6.54545454545455,0.0105,"*"
"Macroalgae",6.54545454545455,0.0105,"*"
