Site,Mean
Papagayo,1.72
Papagayo,2.21
Papagayo,2.09
Papagayo,1.93
Papagayo,2.78
Papagayo,2.63
Samara,1.59
Samara,2.16
Samara,2.06
Samara,1.46
Samara,1.8
Samara,1.58
